C2,C2,C2,C2,C2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
1.32733953,2973.778564,1.32733953,-10.62794781,40.7
1.330670834,2964.385742,1.330670834,-10.62794781,40.8
1.333996177,2955.402344,1.333996177,-10.62794781,40.9
1.33731699,2946.771973,1.33731699,-10.62794781,41
1.340655684,2938.18335,1.340655684,-10.62794781,41.1
1.343980432,2929.515381,1.343980432,-10.62794781,41.2
1.347307324,2921.10791,1.347307324,-10.62794781,41.3
1.350656629,2912.695557,1.350656629,-10.62794781,41.4
1.353976607,2904.708252,1.353976607,-10.62794781,41.5
1.357295752,2897.203369,1.357295752,-10.62794781,41.6
1.360629559,2889.756104,1.360629559,-10.62794781,41.7
1.363964796,2882.118652,1.363964796,-10.62794781,41.8
1.367301464,2874.467773,1.367301464,-10.62794781,41.9
1.370660901,2866.977051,1.370660901,-10.62794781,42
1.374012113,2859.656738,1.374012113,-10.62794781,42.1
1.377351284,2852.500732,1.377351284,-10.62794781,42.2
1.380687714,2845.615967,1.380687714,-10.62794781,42.3
1.384018302,2838.747559,1.384018302,-10.62794781,42.4
1.387366295,2831.654297,1.387366295,-10.62794781,42.5
1.390685439,2824.466064,1.390685439,-10.62794781,42.6
1.394016623,2817.370605,1.394016623,-10.62794781,42.7
1.397338986,2810.458008,1.397338986,-10.62794781,42.8
1.400670171,2803.842773,1.400670171,-10.62794781,42.9
1.403992653,2797.41333,1.403992653,-10.62794781,43
1.407334447,2790.912354,1.407334447,-10.62794781,43.1
1.410672545,2784.051025,1.410672545,-10.62794781,43.2
1.414004564,2777.102783,1.414004564,-10.62794781,43.3
1.417313099,2770.238525,1.417313099,-10.62794781,43.4
1.420635819,2763.44751,1.420635819,-10.62794781,43.5
1.423961639,2756.848877,1.423961639,-10.62794781,43.6
1.427305937,2750.635254,1.427305937,-10.62794781,43.7
1.430640578,2744.308594,1.430640578,-10.62794781,43.8
1.433988452,2737.623291,1.433988452,-10.62794781,43.9
1.437328339,2730.908203,1.437328339,-10.62794781,44
