S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.750068963,2504.823242,0.750068963,0,23.4
0.753462136,2512.561523,0.753462136,0,23.5
0.756843865,2520.94043,0.756843865,0,23.6
0.760269463,2528.983398,0.760269463,0,23.7
0.763468087,2535.956055,0.763468087,0,23.8
0.766893685,2543.803711,0.766893685,0,23.9
0.770254433,2551.256836,0.770254433,0,24
0.773605645,2558.143555,0.773605645,0,24.1
0.776966393,2565.56543,0.776966393,0,24.2
0.780208886,2572.374023,0.780208886,0,24.3
0.783655465,2579.936523,0.783655465,0,24.4
0.787037194,2587.233398,0.787037194,0,24.5
0.790281594,2593.870117,0.790281594,0,24.6
0.793587029,2600.213867,0.793587029,0,24.7
0.796959221,2608.174805,0.796959221,0,24.8
0.800331414,2614.620117,0.800331414,0,24.9
0.803692162,2621.022461,0.803692162,0,25
0.806999505,2627.22168,0.806999505,0,25.1
0.810285866,2634.225586,0.810285866,0,25.2
0.81363517,2640.631836,0.81363517,0,25.3
0.816974938,2646.87793,0.816974938,0,25.4
0.820238411,2653.077148,0.820238411,0,25.5
0.823448479,2658.944336,0.823448479,0,25.6
0.826885521,2665.448242,0.826885521,0,25.7
0.830160439,2671.198242,0.830160439,0,25.8
0.833553612,2677.760742,0.833553612,0,25.9
0.836807549,2683.799805,0.836807549,0,26
0.840071023,2689.737305,0.840071023,0,26.1
0.843508065,2696.506836,0.843508065,0,26.2
0.846901238,2702.362305,0.846901238,0,26.3
0.850218117,2708.264648,0.850218117,0,26.4
0.853546441,2714.495117,0.853546441,0,26.5
0.856897652,2721.682617,0.856897652,0,26.6
0.860247254,2727.695313,0.860247254,0,26.7
0.863619447,2733.457031,0.863619447,0,26.8
0.866873384,2738.339844,0.866873384,0,26.9
0.870319963,2744.667969,0.870319963,0,27
0.873636842,2751.582031,0.873636842,0,27.1
0.877020478,2757.949219,0.877020478,0,27.2
0.880304933,2764.59375,0.880304933,0,27.3
0.883612275,2771.269531,0.883612275,0,27.4
0.887037873,2778.03125,0.887037873,0,27.5
0.890387177,2784.664063,0.890387177,0,27.6
0.893673539,2790.53125,0.893673539,0,27.7
0.896906495,2796.859375,0.896906495,0,27.8
0.900309205,2802.753906,0.900309205,0,27.9
0.903574586,2807.794922,0.903574586,0,28
0.906902909,2813.427734,0.906902909,0,28.1
0.910198808,2818.603516,0.910198808,0,28.2
0.913462281,2823.996094,0.913462281,0,28.3
0.916813493,2829.605469,0.916813493,0,28.4
0.920195222,2835.160156,0.920195222,0,28.5
0.923460603,2840.294922,0.923460603,0,28.6
0.92673552,2845.603516,0.92673552,0,28.7
0.930191636,2851.541016,0.930191636,0,28.8
0.933498979,2856.775391,0.933498979,0,28.9
0.936892152,2862.150391,0.936892152,0,29
0.940146089,2867.708984,0.940146089,0,29.1
0.943592668,2872.888672,0.943592668,0,29.2
0.946920991,2878.326172,0.946920991,0,29.3
0.950325608,2883.371094,0.950325608,0,29.4
0.953579545,2887.726563,0.953579545,0,29.5
0.956919312,2892.951172,0.956919312,0,29.6
0.960268617,2898.560547,0.960268617,0,29.7
0.963650346,2903.517578,0.963650346,0,29.8
0.967011094,2908.158203,0.967011094,0,29.9
0.970200181,2912.419922,0.970200181,0,30
0.973616242,2918.919922,0.973616242,0,30.1
0.977041841,2923.621094,0.977041841,0,30.2
0.980347276,2927.769531,0.980347276,0,30.3
0.983622193,2932.501953,0.983622193,0,30.4
0.987015367,2937.701172,0.987015367,0,30.5
0.990248322,2941.529297,0.990248322,0,30.6
0.993641496,2945.833984,0.993641496,0,30.7
0.996904969,2949.939453,0.996904969,0,30.8
1.000137925,2953.783203,1.000137925,0,30.9
1.003519654,2959.041016,1.003519654,0,31
1.006806016,2963.611328,1.006806016,0,31.1
1.010122895,2967.857422,1.010122895,0,31.2
1.013409257,2972.013672,1.013409257,0,31.3
1.016823411,2976.414063,1.016823411,0,31.4
1.020142198,2981.587891,1.020142198,0,31.5
1.023567796,2985.982422,1.023567796,0,31.6
1.026852965,2989.209961,1.026852965,0,31.7
1.030234694,2993.604492,1.030234694,0,31.8
1.033606887,2998.053711,1.033606887,0,31.9
1.036956191,3002.75293,1.036956191,0,32
1.040295959,3006.983398,1.040295959,0,32.1
1.043538451,3010.915039,1.043538451,0,32.2
