nbm1,nbm1,nbm1,nbm1,nbm1
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0.540718257,10.52764606,0.540718257,0.540718257,33.3
0.542376935,10.54436874,0.542376935,0.542376935,33.4
0.544039428,10.57167816,0.544039428,0.544039428,33.5
0.545707047,10.60648346,0.545707047,0.545707047,33.6
0.5473786,10.62901592,0.5473786,0.5473786,33.7
0.549046636,10.67160892,0.549046636,0.549046636,33.8
0.550723255,10.69639111,0.550723255,0.550723255,33.9
0.552398205,10.72518063,0.552398205,0.552398205,34
0.554071486,10.75422001,0.554071486,0.554071486,34.1
0.555737436,10.78096771,0.555737436,0.555737436,34.2
0.55740118,10.83198547,0.55740118,0.55740118,34.3
0.559068859,10.86590195,0.559068859,0.559068859,34.4
0.560739934,10.88537884,0.560739934,0.560739934,34.5
0.562399387,10.92442036,0.562399387,0.562399387,34.6
0.564070165,10.96018028,0.564070165,0.564070165,34.7
0.565733254,10.99366951,0.565733254,0.565733254,34.8
0.567405224,11.02411461,0.567405224,0.567405224,34.9
0.569066823,11.06642437,0.569066823,0.569066823,35
0.570747435,11.08398438,0.570747435,0.570747435,35.1
0.572393596,11.11412716,0.572393596,0.572393596,35.2
0.574068725,11.13386154,0.574068725,0.574068725,35.3
0.575732231,11.17476749,0.575732231,0.575732231,35.4
0.577402532,11.2100153,0.577402532,0.577402532,35.5
0.579065502,11.25524998,0.579065502,0.579065502,35.6
0.580725729,11.27360153,0.580725729,0.580725729,35.7
0.582383096,11.28907585,0.582383096,0.582383096,35.8
0.584051967,11.34782028,0.584051967,0.584051967,35.9
0.5857234,11.36459255,0.5857234,0.5857234,36
0.587396741,11.4095459,0.587396741,0.587396741,36.1
0.5890553,11.4299612,0.5890553,0.5890553,36.2
0.590720892,11.46081638,0.590720892,0.590720892,36.3
0.592392921,11.4995203,0.592392921,0.592392921,36.4
0.594057977,11.51367855,0.594057977,0.594057977,36.5
0.595714867,11.5569582,0.595714867,0.595714867,36.6
0.597381175,11.57450867,0.597381175,0.597381175,36.7
0.599055052,11.6167984,0.599055052,0.599055052,36.8
0.600702465,11.64438629,0.600702465,0.600702465,36.9
0.602371395,11.66091156,0.602371395,0.602371395,37
0.604043543,11.69182682,0.604043543,0.604043543,37.1
0.605712712,11.7236681,0.605712712,0.605712712,37.2
0.607377946,11.7676897,0.607377946,0.607377946,37.3
0.609047055,11.7912159,0.609047055,0.609047055,37.4
0.610712409,11.84248734,0.610712409,0.610712409,37.5
0.6123842,11.85048103,0.6123842,0.6123842,37.6
0.614060462,11.88516998,0.614060462,0.614060462,37.7
0.615728796,11.91231918,0.615728796,0.615728796,37.8
0.617389917,11.95473576,0.617389917,0.617389917,37.9
0.619049251,11.98759747,0.619049251,0.619049251,38
0.620730579,12.01131344,0.620730579,0.620730579,38.1
0.622387886,12.0363512,0.622387886,0.622387886,38.2
0.624056399,12.0787735,0.624056399,0.624056399,38.3
0.625722349,12.11436558,0.625722349,0.625722349,38.4
0.627397656,12.1394558,0.627397656,0.627397656,38.5
0.629057527,12.16896725,0.629057527,0.629057527,38.6
0.630730748,12.19122982,0.630730748,0.630730748,38.7
0.63239944,12.24257278,0.63239944,0.63239944,38.8
0.634058595,12.27513599,0.634058595,0.634058595,38.9
0.635730684,12.30772495,0.635730684,0.635730684,39
0.637393832,12.3161993,0.637393832,0.637393832,39.1
0.639068604,12.36209106,0.639068604,0.639068604,39.2
0.640730202,12.3810854,0.640730202,0.640730202,39.3
0.642397642,12.42526531,0.642397642,0.642397642,39.4
0.644064546,12.44310856,0.644064546,0.644064546,39.5
0.645733178,12.47160339,0.645733178,0.645733178,39.6
0.647401512,12.50986862,0.647401512,0.647401512,39.7
0.64906311,12.53622437,0.64906311,0.64906311,39.8
0.650733054,12.57693863,0.650733054,0.650733054,39.9
0.652396977,12.58333015,0.652396977,0.652396977,40
0.654056132,12.63286591,0.654056132,0.654056132,40.1
0.655733466,12.66715717,0.655733466,0.655733466,40.2
0.657390237,12.7082653,0.657390237,0.657390237,40.3
0.659052551,12.74849033,0.659052551,0.659052551,40.4
0.660711527,12.77265072,0.660711527,0.660711527,40.5
0.662389576,12.78651905,0.662389576,0.662389576,40.6
0.66405195,12.82924461,0.66405195,0.66405195,40.7
0.665725827,12.85377502,0.665725827,0.665725827,40.8
0.667383313,12.89036846,0.667383313,0.667383313,40.9
0.669058025,12.9228735,0.669058025,0.669058025,41
0.670724571,12.9610672,0.670724571,0.670724571,41.1
0.672383785,12.99761963,0.672383785,0.672383785,41.2
0.674067259,13.01022625,0.674067259,0.674067259,41.3
0.675736547,13.05756283,0.675736547,0.675736547,41.4
0.677412689,13.08872414,0.677412689,0.677412689,41.5
0.679055393,13.13441086,0.679055393,0.679055393,41.6
0.680716157,13.15228653,0.680716157,0.680716157,41.7
0.6823892,13.18658829,0.6823892,0.6823892,41.8
0.684048891,13.21371841,0.684048891,0.684048891,41.9
0.685716331,13.24322033,0.685716331,0.685716331,42
0.687395751,13.28514194,0.687395751,0.687395751,42.1
0.689050913,13.30878448,0.689050913,0.689050913,42.2
0.690719128,13.33220196,0.690719128,0.690719128,42.3
0.692394614,13.38228035,0.692394614,0.692394614,42.4
0.694055974,13.40550423,0.694055974,0.694055974,42.5
0.695725083,13.42963314,0.695725083,0.695725083,42.6
0.697391152,13.46835423,0.697391152,0.697391152,42.7
0.699065924,13.48144722,0.699065924,0.699065924,42.8
0.700730205,13.52045536,0.700730205,0.700730205,42.9
0.702402711,13.56659985,0.702402711,0.702402711,43
0.704065323,13.58688641,0.704065323,0.704065323,43.1
0.705726027,13.62626076,0.705726027,0.705726027,43.2
0.707398772,13.66264153,0.707398772,0.707398772,43.3
0.709072769,13.68185997,0.709072769,0.709072769,43.4
0.710733056,13.69965553,0.710733056,0.710733056,43.5
0.712408543,13.7473917,0.712408543,0.712408543,43.6
0.714070678,13.77343178,0.714070678,0.714070678,43.7
0.715727329,13.8021431,0.715727329,0.715727329,43.8
0.717388213,13.84825134,0.717388213,0.717388213,43.9
0.719056487,13.8858757,0.719056487,0.719056487,44
0.72072643,13.91200161,0.72072643,0.72072643,44.1
0.722392797,13.93705082,0.722392797,0.722392797,44.2
0.724049509,13.97477055,0.724049509,0.724049509,44.3
0.725730538,13.99683857,0.725730538,0.725730538,44.4
0.727392435,14.03702831,0.727392435,0.727392435,44.5
0.7290501,14.0827179,0.7290501,0.7290501,44.6
0.730732679,14.09932804,0.730732679,0.730732679,44.7
0.732388437,14.13503742,0.732388437,0.732388437,44.8
0.7340675,14.16635799,0.7340675,0.7340675,44.9
0.735734224,14.19088173,0.735734224,0.735734224,45
0.737401724,14.21524048,0.737401724,0.737401724,45.1
0.739064693,14.24483109,0.739064693,0.739064693,45.2
0.740733027,14.26946163,0.740733027,0.740733027,45.3
0.7423895,14.31214333,0.7423895,0.7423895,45.4
0.744060159,14.34261799,0.744060159,0.744060159,45.5
0.745722711,14.36750603,0.745722711,0.745722711,45.6
0.747388303,14.40195751,0.747388303,0.747388303,45.7
0.749052286,14.4288969,0.749052286,0.749052286,45.8
0.750715256,14.45797062,0.750715256,0.750715256,45.9
0.752382159,14.48844242,0.752382159,0.752382159,46
0.754060864,14.52238369,0.754060864,0.754060864,46.1
0.755705893,14.55270672,0.755705893,0.755705893,46.2
0.757385373,14.59003735,0.757385373,0.757385373,46.3
0.759050965,14.61105347,0.759050965,0.759050965,46.4
0.760719121,14.6493206,0.760719121,0.760719121,46.5
0.762386858,14.68410873,0.762386858,0.762386858,46.6
0.764050186,14.73049641,0.764050186,0.764050186,46.7
0.765724242,14.75223351,0.765724242,0.765724242,46.8
0.767387867,14.78299999,0.767387867,0.767387867,46.9
0.76905036,14.81216335,0.76905036,0.76905036,47
0.770730853,14.83393669,0.770730853,0.770730853,47.1
0.772399724,14.86627483,0.772399724,0.772399724,47.2
0.774058521,14.91087151,0.774058521,0.774058521,47.3
0.775724292,14.93856716,0.775724292,0.775724292,47.4
0.77739203,14.96366024,0.77739203,0.77739203,47.5
